wavelength      transmission
     12.54333035        92.17292152
     12.56118936        92.08390595
     12.57904838        92.01467161
     12.59690739        91.96521852
     12.61476641        91.85642171
     12.63262542        91.82674985
     12.65048443        91.74762489
     12.66834345        91.67839056
     12.68620246        91.58937499
     12.70406148        91.57948437
     12.72192049        91.46574224
     12.73977951         91.4410157
     12.75763852         91.3421095
     12.77549753        91.28276579
     12.79335655        91.19375022
     12.81121556        91.17396898
     12.82907458        91.06517216
     12.84693359        91.02560969
      12.8647926        90.93659411
     12.88265162        90.89703164
     12.90051063        90.80801606
     12.91836965        90.77834421
     12.93622866        90.65965678
     12.95408767        90.62998492
     12.97194669        90.55085996
      12.9898057        90.51129749
     13.02552373        90.37282882
     13.04338274        90.27392262
     13.06124176        90.23436015
     13.07910077        90.14534457
     13.09695979         90.1057821
      13.1148188         90.0068759
     13.13267781        89.96731343
     13.15053683        89.87829785
     13.16839584        89.80906352
     13.18625486        89.72993856
     13.20411387        89.68048547
     13.22197289        89.60136051
      13.2398319        89.57168866
     13.25769091        89.48267308
     13.27554993        89.44311061
     13.29340894        89.34420441
     13.31126796        89.29475132
     13.32912697        89.20573574
     13.34698598        89.15133734
       13.364845        89.05737646
     13.38270401         88.9782515
     13.40056303        88.91890779
     13.41842204        88.82000159
     13.43628105        88.79032974
     13.45414007        88.69142354
     13.47199908        88.66175169
      13.4898581        88.58262673
     13.50771711         88.5133924
     13.52557612        88.45404868
     13.54343514        88.40459558
     13.56129415        88.33536125
     13.57915317        88.27601753
     13.59701218        88.17711134
     13.61487119        88.12765825
     13.63273021        88.04853329
     13.65058922         87.9990802
     13.66844824        87.89028338
     13.68630725        87.83093967
     13.70416626        87.74192409
     13.72202528        87.62323666
     13.73988429        87.59356481
     13.75774331        87.49465861
     13.77560232        87.46498676
     13.79346134        87.35618994
     13.81132035        87.30673685
     13.82917936        87.22761189
     13.83513237        87.13365101
     13.85299138        87.08914322
      13.8708504        87.03969013
     13.88870941        86.93089332
     13.90656842        86.88144022
     13.92442744        86.76275279
     13.94228645        86.67373721
     13.96014547        86.62428412
     13.97800448        86.54515916
     13.99288699          86.510542
     14.01950523        86.49815043
     14.03753453        86.33745616
     14.05539354        86.25833121
